,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
pf[33],0.5903978883748184,0.00042532376647660123,0.017308116803460134,0.5581723635535094,0.5785933210548146,0.590129752057281,0.6019519320084388,0.6252318799797605,1656.0,1.0031685599801374
pf[34],0.6525494308207846,0.0007138715629344767,0.02563981795553161,0.6059254593742811,0.6342021146295866,0.6515467852316323,0.6688717821438567,0.7052625039795803,1290.0,1.0015387529331516
pf[35],0.4751173484001732,0.00022349370913521958,0.009703333997827199,0.45703889471338666,0.46852374692729154,0.475107429278418,0.48177173137006457,0.49409449493187463,1885.0,1.001280525733992
pf[36],0.47454244045955685,0.00022526950951382263,0.009746649208208526,0.45501146514776514,0.468200271218165,0.47460091867585286,0.48083307274235937,0.49420538396490965,1872.0,1.0007703529119187
pf[37],0.46990313950287604,0.00019774816382914166,0.009205384117858754,0.4520869370925645,0.4636338827287035,0.46989121198725947,0.4759183791562375,0.48800378786893184,2167.0,1.0022275547169401
pf[38],0.5047253406730876,0.00026813741116755974,0.012060223421414617,0.48099303288156836,0.49670431479504795,0.504943451052381,0.5126800707338757,0.5284860213794864,2023.0,1.0048114229486393
pf[39],0.4687183304623862,0.0002076421519902148,0.009672648102995715,0.4492632473992415,0.46229343491548186,0.46874616378665823,0.47537670735111304,0.48774929243474807,2170.0,1.0013416546588578
pf[40],0.5472335597196667,0.0003728951537313694,0.015383902438625039,0.5182754965731246,0.5368296002664076,0.5469016701562832,0.5574466215452805,0.5790603103835554,1702.0,1.0007272405846188
pf[41],1.0092807624692564,0.0011006291078437074,0.043023196228013705,0.9319315018341894,0.980141510114507,1.0070212724885748,1.0361644943344732,1.1003215330898493,1528.0,1.0024934230405425
pf[42],0.8456783241270143,0.0015681525471723345,0.059175686168841224,0.725087380637583,0.8065871464300408,0.8462962536842494,0.8846853934642522,0.9623536831265438,1424.0,1.0021303437088478
pf[43],0.6292662145930564,0.0004542716441868806,0.019106429900794485,0.5937772813921757,0.6160063074237101,0.6290659147356308,0.6418209591395725,0.6690034555231761,1769.0,1.0041747561519656
pf[44],0.5170564911026586,0.00032727582034970687,0.013350286354321934,0.4915137558420563,0.5080167338391246,0.5168942376692394,0.5259074552329905,0.543889338482899,1664.0,1.0013706024782452
pf[45],0.7170350333069154,0.0005574230604296285,0.02464667351842888,0.6702311088613513,0.7000150433070278,0.7167169911666416,0.7333360730973837,0.765674324954811,1955.0,1.0006583793756285
pf[46],0.5227068151110009,0.00039118430040649426,0.01627533552855674,0.4927828115713797,0.5117347250615341,0.5211606080019088,0.533072000768709,0.5572083260233058,1731.0,1.0009291578383348
pf[47],0.6137005128132519,0.0005462849343814111,0.020498427724613428,0.5756375921582371,0.5996370851954911,0.6130800666309386,0.6270218761151038,0.6553843811894204,1408.0,1.0029774637689108
pf[48],0.46148929819813145,0.00021205627394979714,0.009708379963814977,0.44220186919034987,0.45485905511274566,0.46163915373962594,0.4681487170011782,0.47982083995664404,2096.0,1.0002869366713398
pf[49],0.5216485678960984,0.00028745719022083347,0.013005651053337034,0.4963704509914003,0.5129975372942736,0.5212399463691897,0.5304491843535962,0.547756400460832,2047.0,0.9999991934474176
pf[50],0.49168109688168304,0.00029590349342232836,0.012261263904237058,0.46818205388347495,0.48380503376144735,0.49157566419750737,0.4996312300917065,0.5170843536157966,1717.0,1.0002585630384453
pf[51],0.6222375143631999,0.0004789822808504265,0.020585095939925715,0.5832556865207422,0.6080589302817991,0.6214756732481213,0.6368895627295783,0.6641110684173,1847.0,1.0004194907779145
pf[52],0.5590840274733512,0.00040905870546274927,0.016280330918981303,0.5281631175088013,0.5478880369098985,0.5591922743526214,0.5696585951278674,0.591425306248508,1584.0,1.003645819003542
pf[53],1.1393932257355897,0.008177258232689848,0.12101237099031059,1.031937125065327,1.0819987655773917,1.1154007862593842,1.1589660736297032,1.5172037750668403,219.0,1.0141068905420063
pf[54],0.46082139113683623,0.00025485494404349696,0.010572641304252001,0.43952997476581046,0.45372480547304206,0.4608165506868693,0.46799564462892945,0.4808531027512535,1721.0,1.0009488584595436
pf[55],0.4832988734316568,0.00028558894421847996,0.012025295542774473,0.4595832585452337,0.47516284605661474,0.48342088793811094,0.4915151395565113,0.5063617593585793,1773.0,1.0007529288171173
pf[56],0.4389686356623171,0.00019835593143112946,0.009777961625379984,0.42005874323001313,0.43244895681064716,0.43903584277178825,0.44542731476424957,0.4585480916839356,2430.0,0.9993947267007841
pf[57],0.43738600596149924,0.00022521196496920356,0.009678875589049082,0.41849388340681737,0.43077152715928646,0.43729116702041315,0.4439417895870095,0.4566987664232397,1847.0,1.0016425904734696
pf[58],1.6519017892186076,0.018010199268944708,0.4491730699116032,1.1515885284531624,1.2947503015907709,1.494725824070044,1.9177215706866029,2.718990850077917,622.0,1.0080598432442742
pf[59],0.569405516936441,0.00044015558951439505,0.01780863205469504,0.5373548856216767,0.5570546499496941,0.5690185284372417,0.5804590503229261,0.6059727647249568,1637.0,0.9999969872941741
pf[60],0.4482818169802545,0.00040324902722460874,0.012872426489935281,0.4237707719981325,0.4394787285729904,0.44820353593727036,0.45671478506564495,0.473883675149452,1019.0,1.0025290513187688
pf[61],0.49781827844185816,0.00037541115338199875,0.015414731216111227,0.46936660739161173,0.48723879634652023,0.4970726463143883,0.5073863703319846,0.5302701859805284,1686.0,1.000463757471465
pf[62],0.4411013834790099,0.00031086767356654845,0.013082322280085787,0.41513976615045456,0.4318603818023662,0.4412935258670774,0.4498975590761978,0.46652388561080227,1771.0,1.0002026361734164
pf[63],0.4189675083365452,0.00028238562556257257,0.010550797674489553,0.39842582233307855,0.4120046714366097,0.4189028885566688,0.42596181080869766,0.4398031370237526,1396.0,1.0017355054492287
pf[64],0.46274707075510785,0.0003586813511490212,0.013840639149434111,0.436845218906618,0.45310946750148656,0.4624178955688256,0.47197082094605175,0.4915859284065853,1489.0,1.0025723488208207
pf[65],0.45276128185067555,0.00030313036021908945,0.012785490964166422,0.4277723952577692,0.44408002530276425,0.45280467074467323,0.46122701104216,0.47780327697333635,1779.0,1.00306352174321
pf[66],0.4017488816585808,0.00021748420900918262,0.009679879859507606,0.3829019103338726,0.3953958357312633,0.401755721849108,0.40834205801458195,0.4213823193145283,1981.0,1.0005443427818277
pf[67],1.1026581845354608,0.023285688452202333,0.3150029546922129,0.8189710538220795,0.9467795577218603,1.024054157930658,1.1252226535288097,2.2333504154392516,183.0,1.0281666006577272
pf[68],0.4319184402415394,0.0003237419423178377,0.012454601194710117,0.4075074112491836,0.42342424256708716,0.43166585057343315,0.44029449955355715,0.45673048945887496,1480.0,1.0040486053963447
pf[69],0.40990732206129726,0.00041536170578545547,0.014679378663438759,0.38418103224243216,0.39959180712957243,0.40882731767019814,0.4191684715674208,0.44172618453133883,1249.0,0.9997019431438833
pf[70],0.6553204759161783,0.000555351745652569,0.023185519694824117,0.6123145643302101,0.6395579660788537,0.6547914732823048,0.6700755581102104,0.7031304336543105,1743.0,1.0022182095315113
pf[71],0.47833356810286515,0.00041670968675559653,0.01696269488467457,0.4461162247135666,0.46682385586102904,0.47806693211032425,0.4890351260440376,0.5135543342842089,1657.0,1.0010473849557713
pf[72],0.7103133808423775,0.0007769450803192624,0.03293550748242165,0.6463458981554421,0.6876746630256327,0.7099988722529254,0.7321477235309584,0.7779207523345713,1797.0,1.0037787747914702
pf[73],0.5601557192480757,0.0005974538205547713,0.02548124785284468,0.5151492042651956,0.5416548045026518,0.5587162321034931,0.5762960055164251,0.6131379796683152,1819.0,1.0025719085177984
pf[74],0.39507000928362174,0.00021162232703853787,0.010416892748647355,0.37521962250868174,0.3879198894706925,0.394897787091361,0.4019613481055341,0.41570023408946166,2423.0,1.0020342389413095
pf[75],0.9826250114053364,0.0011296114792308178,0.04505719866536276,0.9022775997834724,0.9509520043514067,0.9806773403178948,1.0099534289786487,1.0791117945984472,1591.0,1.0000337603713247
pf[76],0.4701331223210982,0.00035576249240523315,0.015089530968631465,0.44004051791480203,0.459996117264467,0.46990998074339513,0.48006374299726784,0.49945804022551743,1799.0,1.0013597563940808
pf[77],1.1454783731951301,0.06514173911700315,0.31240880594073694,0.9531782421488699,1.026043751404547,1.070039669787231,1.1314764056997209,2.4007288587935554,23.0,1.239437655847712
pf[78],0.7228846737758736,0.0009075699329059656,0.036641555486596776,0.6563846108446638,0.6971645290527693,0.7215676935871879,0.7470241248831619,0.7978737148421118,1630.0,1.0001887271456569
pf[79],1.2677337222624998,0.1122093310215349,0.48910913444517423,0.9597371867967539,1.021816643386213,1.0653572424935422,1.1452251758052123,2.7328527744473465,19.0,1.2057292692940724
